PLZ,Name ,Landkreis,Bundesland
65760,Eschborn,Landkreis Main-Taunus-Kreis,Hessen
78664,Eschbronn,Landkreis Rottweil,Baden-Württemberg
49828,"Esche, Georgsdorf, Lage, Neuenhaus, Osterwald",Landkreis Grafschaft Bentheim,Niedersachsen
29348,Eschede,Landkreis Celle,Niedersachsen
74927,Eschelbronn,Landkreis Rhein-Neckar-Kreis,Baden-Württemberg
73107,Eschenbach,Landkreis Göppingen,Baden-Württemberg
92676,Eschenbach i.d. OPf.,Landkreis Neustadt a.d. Waldnaab,Bayern
35713,Eschenburg,Landkreis Lahn-Dill-Kreis,Hessen
82438,Eschenlohe,Landkreis Garmisch-Partenkirchen,Bayern
93458,Eschlkam,Landkreis Cham,Bayern
37269,Eschwege,Landkreis Werra-Meißner-Kreis,Hessen
52249,Eschweiler,Kreis Städteregion Aachen,Nordrhein-Westfalen
26427,"Esens, Neuharlingersiel u.a.",Landkreis Wittmund,Niedersachsen
24402,Esgrus,Kreis Schleswig-Flensburg,Schleswig-Holstein
92693,Eslarn,Landkreis Neustadt a.d. Waldnaab,Bayern
59889,Eslohe,Kreis Hochsauerlandkreis,Nordrhein-Westfalen
32339,Espelkamp,Kreis Minden-Lübbecke,Nordrhein-Westfalen
34314,Espenau,Landkreis Kassel,Hessen
97839,Esselbach,Landkreis Main-Spessart,Bayern
45359,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45357,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45356,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45355,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45329,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45327,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45326,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45309,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45307,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45289,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45279,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45277,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45276,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45259,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45257,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45239,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45219,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45149,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45147,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45145,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45144,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45143,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45141,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45139,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45138,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45136,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45134,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45133,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45131,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45130,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45128,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
45127,Essen,Kreisfreie Stadt Essen,Nordrhein-Westfalen
49632,Essen (Oldenburg),Landkreis Cloppenburg,Niedersachsen
84051,Essenbach,Landkreis Landshut,Bayern
93343,Essing,Landkreis Kelheim,Bayern
73457,Essingen,Landkreis Ostalbkreis,Baden-Württemberg
73734,Esslingen am Neckar,Landkreis Esslingen,Baden-Württemberg
73733,Esslingen am Neckar,Landkreis Esslingen,Baden-Württemberg
73732,Esslingen am Neckar,Landkreis Esslingen,Baden-Württemberg
73730,Esslingen am Neckar,Landkreis Esslingen,Baden-Württemberg
73728,Esslingen am Neckar,Landkreis Esslingen,Baden-Württemberg
67754,Eßweiler,Landkreis Kusel,Rheinland-Pfalz
97230,Estenfeld,Landkreis Würzburg,Bayern
26897,Esterwegen u.a.,Landkreis Emsland,Niedersachsen
67472,Esthal,Landkreis Bad Dürkheim,Rheinland-Pfalz
31629,Estorf,Landkreis Nienburg (Weser),Niedersachsen
21727,Estorf,Landkreis Stade,Niedersachsen
82488,Ettal,Landkreis Garmisch-Partenkirchen,Bayern
77955,Ettenheim,Landkreis Ortenaukreis,Baden-Württemberg
91796,Ettenstatt,Landkreis Weißenburg-Gunzenhausen,Bayern
76275,Ettlingen,Landkreis Karlsruhe,Baden-Württemberg
86833,Ettringen,Landkreis Unterallgäu,Bayern
56729,Ettringen,Landkreis Mayen-Koblenz,Rheinland-Pfalz
92268,Etzelwang,Landkreis Amberg-Sulzbach,Bayern
92694,Etzenricht,Landkreis Neustadt a.d. Waldnaab,Bayern
97502,Euerbach,Landkreis Schweinfurt,Bayern
97717,Euerdorf,Landkreis Bad Kissingen,Bayern
86495,Eurasburg,Landkreis Aichach-Friedberg,Bayern
82547,Eurasburg,Landkreis Bad Tölz-Wolfratshausen,Bayern
53881,Euskirchen,Kreis Euskirchen,Nordrhein-Westfalen
53879,Euskirchen,Kreis Euskirchen,Nordrhein-Westfalen
97776,Eußenheim,Landkreis Main-Spessart,Bayern
23701,"Eutin, Süsel",Kreis Ostholstein,Schleswig-Holstein
72184,Eutingen im Gäu,Landkreis Freudenstadt,Baden-Württemberg
48351,Everswinkel,Kreis Warendorf,Nordrhein-Westfalen
32699,Extertal,Kreis Lippe,Nordrhein-Westfalen
27324,"Eystrup, Hassel u.a.",Landkreis Nienburg (Weser),Niedersachsen
56133,"Fachbach, Exklave Lahnstein",Landkreis Rhein-Lahn-Kreis,Rheinland-Pfalz
24857,Fahrdorf,Kreis Schleswig-Flensburg,Schleswig-Holstein
74864,Fahrenbach,Landkreis Neckar-Odenwald-Kreis,Baden-Württemberg
85777,Fahrenzhausen,Landkreis Freising,Bayern
95685,Falkenberg,Landkreis Tirschenreuth,Bayern
84326,Falkenberg,Landkreis Rottal-Inn,Bayern
4895,Falkenberg/ Elster,Landkreis Elbe-Elster,Brandenburg
94350,Falkenfels,Landkreis Straubing-Bogen,Bayern
14612,Falkensee,Landkreis Havelland,Brandenburg
93167,Falkenstein,Landkreis Cham,Bayern
6543,Falkenstein,Landkreis Harz,Sachsen-Anhalt
6463,Falkenstein,Landkreis Harz,Sachsen-Anhalt
8223,Falkenstein/Vogtl.,Landkreis Vogtlandkreis,Sachsen
82490,Farchant,Landkreis Garmisch-Partenkirchen,Bayern
24256,Fargau-Pratjau,Kreis Plön,Schleswig-Holstein
29328,Faßberg,Landkreis Celle,Niedersachsen
97906,Faulbach,Landkreis Miltenberg,Bayern
23769,Fehmarn,Kreis Ostholstein,Schleswig-Holstein
16833,Fehrbellin,Landkreis Ostprignitz-Ruppin,Brandenburg
16818,"Fehrbellin, Temnitzquell, Märkisch Linden u.a.",Landkreis Ostprignitz-Ruppin,Brandenburg
84550,Feichten a.d. Alz,Landkreis Altötting,Bayern
67824,Feilbingert,Landkreis Bad Kreuznach,Rheinland-Pfalz
95183,Feilitzsch,Landkreis Hof,Bayern
82340,Feldafing,Landkreis Starnberg,Bayern
36325,Feldatal,Landkreis Vogelsbergkreis,Hessen
79868,Feldberg,Landkreis Breisgau-Hochschwarzwald,Baden-Württemberg
17258,Feldberger Seenlandschaft,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
24242,Felde,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
94351,Feldkirchen,Landkreis Straubing-Bogen,Bayern
85622,Feldkirchen,Landkreis Ebersberg,Bayern
83620,Feldkirchen-Westerham,Landkreis Rosenheim,Bayern
54341,Fell,Landkreis Trier-Saarburg,Rheinland-Pfalz
70736,Fellbach,Landkreis Rems-Murr-Kreis,Baden-Württemberg
70734,Fellbach,Landkreis Rems-Murr-Kreis,Baden-Württemberg
97778,Fellen,Landkreis Main-Spessart,Bayern
87748,Fellheim,Landkreis Unterallgäu,Bayern
24244,Felm,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
34587,Felsberg,Landkreis Schwalm-Eder-Kreis,Hessen
92269,Fensterbach,Landkreis Schwandorf,Bayern
17379,Ferdinandshof u.a.,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
35463,Fernwald,Landkreis Gießen,Hessen
54668,Ferschweiler,Landkreis Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
91555,Feuchtwangen,Landkreis Ansbach,Bayern
95686,Fichtelberg,Landkreis Bayreuth,Bayern
74579,Fichtenau,Landkreis Schwäbisch Hall,Baden-Württemberg
74427,Fichtenberg,Landkreis Schwäbisch Hall,Baden-Württemberg
70794,Filderstadt,Landkreis Esslingen,Baden-Württemberg
26849,Filsum,Landkreis Leer,Niedersachsen
57413,Finnentrop,Kreis Olpe,Nordrhein-Westfalen
86923,Finning,Landkreis Landsberg am Lech,Bayern
89435,Finningen,Landkreis Dillingen a.d. Donau,Bayern
85464,Finsing,Landkreis Erding,Bayern
3238,Finsterwalde,Landkreis Elbe-Elster,Brandenburg
27389,"Fintel, Lauenbrück u.a.",Landkreis Rotenburg (Wümme),Niedersachsen
86850,Fischach,Landkreis Augsburg,Bayern
66996,"Fischbach, Erfweiler u.a.",Landkreis Südwestpfalz,Rheinland-Pfalz
83730,Fischbachau,Landkreis Miesbach,Bayern
64405,Fischbachtal,Landkreis Darmstadt-Dieburg,Hessen
87538,Fischen im Allgäu,Landkreis Oberallgäu,Bayern
77716,"Fischerbach, Haslach, Hofstetten",Landkreis Ortenaukreis,Baden-Württemberg
79592,Fischingen,Landkreis Lörrach,Baden-Württemberg
25579,Fitzbek,Kreis Steinburg,Schleswig-Holstein
91604,Flachslanden,Landkreis Ansbach,Bayern
97650,Fladungen,Landkreis Rhön-Grabfeld,Bayern
57632,Flammersfeld,Landkreis Altenkirchen (Westerwald),Rheinland-Pfalz
24357,Fleckeby u.a.,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
74223,Flein,Landkreis Heilbronn,Baden-Württemberg
88373,Fleischwangen,Landkreis Ravensburg,Baden-Württemberg
24944,Flensburg,Kreisfreie Stadt Flensburg,Schleswig-Holstein
24941,Flensburg,Kreisfreie Stadt Flensburg,Schleswig-Holstein
24939,Flensburg,Kreisfreie Stadt Flensburg,Schleswig-Holstein
24937,Flensburg,Kreisfreie Stadt Flensburg,Schleswig-Holstein
24943,"Flensburg, Tastrup",Kreis Schleswig-Flensburg,Schleswig-Holstein
36103,Flieden,Landkreis Fulda,Hessen
24220,Flintbek,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
83126,Flintsbach a. Inn,Landkreis Rosenheim,Bayern
98593,Floh-Seligenthal,Landkreis Schmalkalden-Meiningen,Thüringen
9557,Flöha,Landkreis Mittelsachsen,Sachsen
55237,Flonheim,Landkreis Alzey-Worms,Rheinland-Pfalz
63639,Flörsbachtal,Landkreis Main-Kinzig-Kreis,Hessen
65439,Flörsheim am Main,Landkreis Main-Taunus-Kreis,Hessen
67592,Flörsheim-Dalsheim,Landkreis Alzey-Worms,Rheinland-Pfalz
61197,Florstadt,Landkreis Wetteraukreis,Hessen
92685,Floß,Landkreis Neustadt a.d. Waldnaab,Bayern
92696,Flossenbürg,Landkreis Neustadt a.d. Waldnaab,Bayern
78737,Fluorn-Winzeln,Landkreis Rottweil,Baden-Württemberg
24787,Fockbek,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
25938,Föhr,Kreis Nordfriesland,Schleswig-Holstein
54343,Föhren,Landkreis Trier-Saarburg,Rheinland-Pfalz
76596,Forbach,Landkreis Rastatt,Baden-Württemberg
91301,Forchheim,Landkreis Forchheim,Bayern
79362,Forchheim,Landkreis Emmendingen,Baden-Württemberg
74670,Forchtenberg,Landkreis Hohenlohekreis,Baden-Württemberg
76694,Forst,Landkreis Karlsruhe,Baden-Württemberg
67147,Forst an der Weinstraße,Landkreis Bad Dürkheim,Rheinland-Pfalz
3149,Forst/ Lausitz,Landkreis Spree-Neiße,Brandenburg
85659,Forstern,Landkreis Erding,Bayern
85661,Forstinning,Landkreis Ebersberg,Bayern
97833,Frammersbach,Landkreis Main-Spessart,Bayern
35110,Frankenau,Landkreis Waldeck-Frankenberg,Hessen
35066,Frankenberg,Landkreis Waldeck-Frankenberg,Hessen
9669,Frankenberg,Landkreis Mittelsachsen,Sachsen
96528,"Frankenblick, Schalkau, Bachfeld",Landkreis Sonneberg,Thüringen
74586,Frankenhardt,Landkreis Schwäbisch Hall,Baden-Württemberg
67468,"Frankenstein, Neidenfels, Frankeneck",Landkreis Kaiserslautern,Rheinland-Pfalz
67227,Frankenthal (Pfalz),Kreisfreie Stadt Frankenthal (Pfalz),Rheinland-Pfalz
60308,Frankfurt,Kreisfreie Stadt Frankfurt am Main,Hessen
65936,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
65934,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
65933,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
65931,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
65929,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60599,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60598,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60596,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60594,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60549,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60529,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60528,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60489,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60488,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60487,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60486,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60439,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60438,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60437,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60435,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60433,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60431,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60389,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60388,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60386,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60385,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60329,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60327,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60326,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60325,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60323,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60322,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60320,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60318,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60316,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60314,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60313,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60311,Frankfurt am Main,Kreisfreie Stadt Frankfurt am Main,Hessen
60310,Frankfurt am Main (Taunusturm),Kreisfreie Stadt Frankfurt am Main,Hessen
60306,"Frankfurt am Main, Opernturm",Kreisfreie Stadt Frankfurt am Main,Hessen
15234,Frankfurt/ Oder,Kreisfreie Stadt Frankfurt (Oder),Brandenburg
15232,Frankfurt/ Oder,Kreisfreie Stadt Frankfurt (Oder),Brandenburg
15230,Frankfurt/ Oder,Kreisfreie Stadt Frankfurt (Oder),Brandenburg
64407,Fränkisch-Crumbach,Landkreis Odenwaldkreis,Hessen
6259,Frankleben,Landkreis Saalekreis,Sachsen-Anhalt
76833,Frankweiler,Landkreis Südliche Weinstraße,Rheinland-Pfalz
18461,"Franzburg, Richtenberg, u.a.",Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
83112,Frasdorf,Landkreis Rosenheim,Bayern
94258,Frauenau,Landkreis Regen,Bayern
83553,Frauenneuharting,Landkreis Ebersberg,Bayern
9623,Frauenstein,Landkreis Mittelsachsen,Sachsen
85447,Fraunberg,Landkreis Erding,Bayern
8427,Fraureuth,Landkreis Zwickau,Sachsen
50226,Frechen,Kreis Rhein-Erft-Kreis,Nordrhein-Westfalen
31084,Freden (Leine),Landkreis Hildesheim,Niedersachsen
21717,Fredenbeck,Landkreis Stade,Niedersachsen
15370,"Fredersdorf-Vogelsdorf, Petershagen",Landkreis Märkisch-Oderland,Brandenburg
79348,Freiamt,Landkreis Emmendingen,Baden-Württemberg
9599,Freiberg,Landkreis Mittelsachsen,Sachsen
71691,Freiberg am Neckar,Landkreis Ludwigsburg,Baden-Württemberg
21729,Freiburg (Elbe),Landkreis Stade,Niedersachsen
79117,Freiburg im Breisgau,Stadtkreis Freiburg im Breisgau,Baden-Württemberg
79115,Freiburg im Breisgau,Stadtkreis Freiburg im Breisgau,Baden-Württemberg
79114,Freiburg im Breisgau,Stadtkreis Freiburg im Breisgau,Baden-Württemberg
79112,Freiburg im Breisgau,Stadtkreis Freiburg im Breisgau,Baden-Württemberg
79111,Freiburg im Breisgau,Stadtkreis Freiburg im Breisgau,Baden-Württemberg
79110,Freiburg im Breisgau,Stadtkreis Freiburg im Breisgau,Baden-Württemberg
79108,Freiburg im Breisgau,Stadtkreis Freiburg im Breisgau,Baden-Württemberg
79106,Freiburg im Breisgau,Stadtkreis Freiburg im Breisgau,Baden-Württemberg
79104,Freiburg im Breisgau,Stadtkreis Freiburg im Breisgau,Baden-Württemberg
79102,Freiburg im Breisgau,Stadtkreis Freiburg im Breisgau,Baden-Württemberg
79100,Freiburg im Breisgau,Stadtkreis Freiburg im Breisgau,Baden-Württemberg
79098,Freiburg im Breisgau,Stadtkreis Freiburg im Breisgau,Baden-Württemberg
36399,Freiensteinau,Landkreis Vogelsbergkreis,Hessen
63579,Freigericht,Landkreis Main-Kinzig-Kreis,Hessen
92271,Freihung,Landkreis Amberg-Sulzbach,Bayern
83395,Freilassing,Landkreis Berchtesgadener Land,Bayern
56244,"Freilingen, Freirachdorf u.a.",Landkreis Westerwaldkreis,Rheinland-Pfalz
67251,Freinsheim,Landkreis Bad Dürkheim,Rheinland-Pfalz
67361,Freisbach,Landkreis Germersheim,Rheinland-Pfalz
66629,Freisen,Landkreis St. Wendel,Saarland
85356,Freising,Landkreis Freising,Bayern
85354,Freising,Landkreis Freising,Bayern
27259,"Freistatt, Varrel, Wehrbleck",Landkreis Diepholz,Niedersachsen
1705,Freital,Landkreis Sächsische Schweiz-Osterzgebirge,Sachsen
86742,Fremdingen,Landkreis Donau-Ries,Bayern
96158,Frensdorf,Landkreis Bamberg,Bayern
92272,Freudenberg,Landkreis Amberg-Sulzbach,Bayern
57258,Freudenberg,Kreis Siegen-Wittgenstein,Nordrhein-Westfalen
97896,"Freudenberg, Collenberg",Landkreis Miltenberg,Bayern
54450,Freudenburg,Landkreis Trier-Saarburg,Rheinland-Pfalz
72250,Freudenstadt,Landkreis Freudenstadt,Baden-Württemberg
74392,Freudental,Landkreis Ludwigsburg,Baden-Württemberg
6632,"Freyburg, Balgstädt",Landkreis Saalekreis,Sachsen-Anhalt
92342,Freystadt,Landkreis Neumarkt i.d. OPf.,Bayern
94078,Freyung,Landkreis Freyung-Grafenau,Bayern
97252,Frickenhausen,Landkreis Würzburg,Bayern
72636,Frickenhausen,Landkreis Esslingen,Baden-Württemberg
88699,Frickingen,Landkreis Bodenseekreis,Baden-Württemberg
78567,Fridingen an der Donau,Landkreis Tuttlingen,Baden-Württemberg
83413,Fridolfing,Landkreis Traunstein,Bayern
86316,Friedberg,Landkreis Aichach-Friedberg,Bayern
61169,Friedberg (Hessen),Landkreis Wetteraukreis,Hessen
26446,Friedeburg,Landkreis Wittmund,Niedersachsen
67159,Friedelsheim,Landkreis Bad Dürkheim,Rheinland-Pfalz
95688,Friedenfels,Landkreis Tirschenreuth,Bayern
79877,Friedenweiler,Landkreis Breisgau-Hochschwarzwald,Baden-Württemberg
36289,Friedewald,Landkreis Hersfeld-Rotenburg,Hessen
37133,Friedland,Landkreis Göttingen,Niedersachsen
17098,Friedland,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
17099,"Friedland, Galenbeck, Datzetal",Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
61381,Friedrichsdorf,Landkreis Hochtaunuskreis,Hessen
88048,Friedrichshafen,Landkreis Bodenseekreis,Baden-Württemberg
88046,Friedrichshafen,Landkreis Bodenseekreis,Baden-Württemberg
88045,Friedrichshafen,Landkreis Bodenseekreis,Baden-Württemberg
25718,Friedrichskoog,Kreis Dithmarschen,Schleswig-Holstein
25840,"Friedrichstadt, Koldenbüttel u.a.",Kreis Nordfriesland,Schleswig-Holstein
66299,Friedrichsthal,Landkreis Regionalverband Saarbrücken,Saarland
34621,Frielendorf,Landkreis Schwalm-Eder-Kreis,Hessen
14662,Friesack,Landkreis Havelland,Brandenburg
51598,Friesenhagen,Landkreis Altenkirchen (Westerwald),Rheinland-Pfalz
77948,Friesenheim,Landkreis Ortenaukreis,Baden-Württemberg
87654,Friesenried,Landkreis Ostallgäu,Bayern
26169,Friesoythe,Landkreis Cloppenburg,Niedersachsen
71292,Friolzheim,Landkreis Enzkreis,Baden-Württemberg
78665,Frittlingen,Landkreis Tuttlingen,Baden-Württemberg
34560,Fritzlar,Landkreis Schwalm-Eder-Kreis,Hessen
4654,Frohburg,Landkreis Leipzig,Sachsen
58730,Fröndenberg/Ruhr,Kreis Unna,Nordrhein-Westfalen
35112,Fronhausen,Landkreis Marburg-Biedenkopf,Hessen
88273,Fronreute,Landkreis Ravensburg,Baden-Württemberg
84160,Frontenhausen,Landkreis Dingolfing-Landau,Bayern
95689,Fuchsmühl,Landkreis Tirschenreuth,Bayern
97727,Fuchsstadt,Landkreis Bad Kissingen,Bayern
86925,Fuchstal,Landkreis Landsberg am Lech,Bayern
21493,Fuhlenhagen,Kreis Herzogtum Lauenburg,Schleswig-Holstein
36043,Fulda,Landkreis Fulda,Hessen
36041,Fulda,Landkreis Fulda,Hessen
36039,Fulda,Landkreis Fulda,Hessen
36037,Fulda,Landkreis Fulda,Hessen
34277,Fuldabrück,Landkreis Kassel,Hessen
86681,Fünfstetten,Landkreis Donau-Ries,Bayern
49584,Fürstenau,Landkreis Osnabrück,Niedersachsen
37699,Fürstenberg,Landkreis Holzminden,Niedersachsen
16798,Fürstenberg,Landkreis Oberhavel,Brandenburg
94142,Fürsteneck,Landkreis Freyung-Grafenau,Bayern
82256,Fürstenfeldbruck,Landkreis Fürstenfeldbruck,Bayern
94538,Fürstenstein,Landkreis Passau,Bayern
15517,Fürstenwalde/ Spree,Landkreis Oder-Spree,Brandenburg
94081,Fürstenzell,Landkreis Passau,Bayern
84095,Furth,Landkreis Landshut,Bayern
90768,Fürth,Kreisfreie Stadt Fürth,Bayern
90766,Fürth,Kreisfreie Stadt Fürth,Bayern
90765,Fürth,Kreisfreie Stadt Fürth,Bayern
90763,Fürth,Kreisfreie Stadt Fürth,Bayern
90762,Fürth,Kreisfreie Stadt Fürth,Bayern
64658,Fürth,Landkreis Bergstraße,Hessen
93437,Furth i. Wald,Landkreis Cham,Bayern
57539,Fürthen,Landkreis Altenkirchen (Westerwald),Rheinland-Pfalz
78120,Furtwangen im Schwarzwald,Landkreis Schwarzwald-Baar-Kreis,Baden-Württemberg
87629,Füssen,Landkreis Ostallgäu,Bayern
67136,Fußgönheim,Landkreis Rhein-Pfalz-Kreis,Rheinland-Pfalz
86456,Gablingen,Landkreis Augsburg,Bayern
86565,Gachenbach,Landkreis Neuburg-Schrobenhausen,Bayern
19205,Gadebusch,Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern
97503,Gädheim,Landkreis Haßberge,Bayern
76571,Gaggenau,Landkreis Rastatt,Baden-Württemberg
69251,Gaiberg,Landkreis Rhein-Neckar-Kreis,Baden-Württemberg
78343,Gaienhofen,Landkreis Konstanz,Baden-Württemberg
74405,Gaildorf,Landkreis Schwäbisch Hall,Baden-Württemberg
78262,Gailingen am Hochrhein,Landkreis Konstanz,Baden-Württemberg
85080,Gaimersheim,Landkreis Eichstätt,Bayern
83674,Gaißach,Landkreis Bad Tölz-Wolfratshausen,Bayern
91605,Gallmersgarten,Landkreis Neustadt a.d. Aisch-Bad Windsheim,Bayern
85408,Gammelsdorf,Landkreis Freising,Bayern
73108,Gammelshausen,Landkreis Göppingen,Baden-Württemberg
72501,Gammertingen,Landkreis Sigmaringen,Baden-Württemberg
27777,Ganderkesee,Landkreis Oldenburg,Niedersachsen
52538,"Gangelt, Selfkant",Kreis Heinsberg,Nordrhein-Westfalen
84140,Gangkofen,Landkreis Rottal-Inn,Bayern
30827,Garbsen,Landkreis Region Hannover,Niedersachsen
30826,Garbsen,Landkreis Region Hannover,Niedersachsen
30823,Garbsen,Landkreis Region Hannover,Niedersachsen
84518,Garching a.d. Alz,Landkreis Altötting,Bayern
85748,Garching b. München,Landkreis München,Bayern
39649,Gardelegen,Landkreis Altmarkkreis Salzwedel,Sachsen-Anhalt
39638,Gardelegen,Landkreis Altmarkkreis Salzwedel,Sachsen-Anhalt
25836,"Garding, Osterhever, Poppenbüll u.a.",Kreis Nordfriesland,Schleswig-Holstein
82467,Garmisch-Partenkirchen,Landkreis Garmisch-Partenkirchen,Bayern
82475,Garmisch-Partenkirchen (Schneefernerhaus),Landkreis Garmisch-Partenkirchen,Bayern
49681,Garrel,Landkreis Cloppenburg,Niedersachsen
83559,Gars a. Inn,Landkreis Mühldorf a. Inn,Bayern
83555,Gars a. Inn,Landkreis Mühldorf a. Inn,Bayern
83536,Gars a. Inn,Landkreis Mühldorf a. Inn,Bayern
83546,Gars am Inn,Landkreis Mühldorf a. Inn,Bayern
21441,Garstedt,Landkreis Harburg,Niedersachsen
29471,Gartow,Landkreis Lüchow-Dannenberg,Niedersachsen
71116,Gärtringen,Landkreis Böblingen,Baden-Württemberg
16307,Gartz (Oder),Landkreis Uckermark,Brandenburg
18574,Garz/ Rügen,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
95185,Gattendorf,Landkreis Hof,Bayern
55435,Gau-Algesheim,Landkreis Mainz-Bingen,Rheinland-Pfalz
55599,Gau-Bickelheim,Landkreis Alzey-Worms,Rheinland-Pfalz
55239,Gau-Odernheim,Landkreis Alzey-Worms,Rheinland-Pfalz
71126,Gäufelden,Landkreis Böblingen,Baden-Württemberg
97253,Gaukönigshofen,Landkreis Würzburg,Bayern
82131,Gauting,Landkreis München,Bayern
92274,Gebenbach,Landkreis Amberg-Sulzbach,Bayern
99189,Gebesee,Landkreis Sömmerda,Thüringen
57580,Gebhardshain,Landkreis Altenkirchen (Westerwald),Rheinland-Pfalz
91607,Gebsattel,Landkreis Ansbach,Bayern
75391,Gechingen,Landkreis Calw,Baden-Württemberg
63688,Gedern,Landkreis Wetteraukreis,Hessen
